Country Code,Country Name,Region,Domain,Slope,Intercept,R2,SE_Pred_2030,Backtest_RMSE
JAM,Jamaica,Central America & Caribbean,Food Security,-0.002743,6.154406,0.1092,0.032985,0.0731
JAM,Jamaica,Central America & Caribbean,Healthcare,-0.000965,2.152399,0.0258,0.024959,0.0653
JAM,Jamaica,Central America & Caribbean,Political Stability,0.006629,-12.712993,0.5453,0.02549,0.066
JOR,Jordan,Middle East,Climate & Energy,0.002279,-3.956435,0.2736,0.015637,0.092
JOR,Jordan,Middle East,Digital Infrastructure,0.023112,-46.246954,0.976,0.015257,0.0978
JOR,Jordan,Middle East,Economic Fragility,0.00207,-3.461499,0.3603,0.011614,0.0635
JOR,Jordan,Middle East,Food Security,-0.00524,11.139035,0.1635,0.049907,0.0731
JOR,Jordan,Middle East,Healthcare,-0.003596,7.487703,0.5073,0.014922,0.0653
JOR,Jordan,Middle East,Political Stability,-0.00102,2.592671,0.0335,0.02307,0.066
KAZ,Kazakhstan,Central Asia,Climate & Energy,0.003963,-7.316852,0.3586,0.022321,0.092
KAZ,Kazakhstan,Central Asia,Digital Infrastructure,0.033011,-66.096803,0.9272,0.038939,0.0978
KAZ,Kazakhstan,Central Asia,Economic Fragility,0.003018,-5.399856,0.4941,0.012861,0.0635
KAZ,Kazakhstan,Central Asia,Food Security,-0.005645,12.165735,0.3856,0.030007,0.0731
KAZ,Kazakhstan,Central Asia,Healthcare,-0.003486,7.339139,0.6422,0.01096,0.0653
KAZ,Kazakhstan,Central Asia,Political Stability,-0.006627,13.963385,0.3726,0.036216,0.066
KGZ,Kyrgyz Republic,Central Asia,Climate & Energy,0.002689,-4.805865,0.592,0.009401,0.092
KGZ,Kyrgyz Republic,Central Asia,Digital Infrastructure,0.021362,-42.7821,0.8931,0.031121,0.0978
KGZ,Kyrgyz Republic,Central Asia,Economic Fragility,9.1e-05,0.503423,0.0003,0.024023,0.0635
KGZ,Kyrgyz Republic,Central Asia,Food Security,0.005517,-10.401418,0.4326,0.026611,0.0731
KGZ,Kyrgyz Republic,Central Asia,Healthcare,-0.003329,6.980056,0.4327,0.016052,0.0653
KGZ,Kyrgyz Republic,Central Asia,Political Stability,0.003699,-6.980036,0.1344,0.03954,0.066
KHM,Cambodia,East Asia,Climate & Energy,0.008884,-17.399034,0.855,0.015404,0.092
KHM,Cambodia,East Asia,Digital Infrastructure,0.01452,-29.108975,0.6941,0.040594,0.0978
